# x u(x,t=0.1)
0.0000000000e+00 0.0000000000e+00
5.0000000000e-03 4.2369465713e-11
1.0000000000e-02 1.0585793531e-10
1.5000000000e-02 2.2109826460e-10
2.0000000000e-02 4.4155652820e-10
2.5000000000e-02 8.6577905218e-10
3.0000000000e-02 1.6766999503e-09
3.5000000000e-02 3.2116839390e-09
4.0000000000e-02 6.0865248653e-09
4.5000000000e-02 1.1412567289e-08
5.0000000000e-02 2.1172223953e-08
5.5000000000e-02 3.8860160454e-08
6.0000000000e-02 7.0563860466e-08
6.5000000000e-02 1.2676062928e-07
7.0000000000e-02 2.2526605959e-07
7.5000000000e-02 3.9600612285e-07
8.0000000000e-02 6.8863441239e-07
8.5000000000e-02 1.1845207183e-06
9.0000000000e-02 2.0153510844e-06
9.5000000000e-02 3.3915675085e-06
1.0000000000e-01 5.6452105599e-06
1.0500000000e-01 9.2934862152e-06
1.1000000000e-01 1.5131627625e-05
1.1500000000e-01 2.4366408516e-05
1.2000000000e-01 3.8804986650e-05
1.2500000000e-01 6.1117536370e-05
1.3000000000e-01 9.5196179715e-05
1.3500000000e-01 1.4663670511e-04
1.4000000000e-01 2.2337294064e-04
1.4500000000e-01 3.3649567756e-04
1.5000000000e-01 5.0128774612e-04
1.5500000000e-01 7.3850305927e-04
1.6000000000e-01 1.0759088663e-03
1.6500000000e-01 1.5500958108e-03
1.7000000000e-01 2.2085385852e-03
1.7500000000e-01 3.1118604016e-03
1.8000000000e-01 4.3362172981e-03
1.8500000000e-01 5.9756746868e-03
1.9000000000e-01 8.1444010882e-03
1.9500000000e-01 1.0978456724e-02
2.0000000000e-01 1.4636913106e-02
2.0500000000e-01 1.9302010701e-02
2.1000000000e-01 2.5178052614e-02
2.1500000000e-01 3.2488750275e-02
2.2000000000e-01 4.1472788337e-02
2.2500000000e-01 5.2377463999e-02
2.3000000000e-01 6.5450380606e-02
2.3500000000e-01 8.0929331919e-02
2.4000000000e-01 9.9030692123e-02
2.4500000000e-01 1.1993681254e-01
2.5000000000e-01 1.4378310042e-01
2.5500000000e-01 1.7064559684e-01
2.6000000000e-01 2.0052995925e-01
2.6500000000e-01 2.3336277050e-01
2.7000000000e-01 2.6898602998e-01
2.7500000000e-01 3.0715552821e-01
2.8000000000e-01 3.4754357172e-01
2.8500000000e-01 3.8974622540e-01
2.9000000000e-01 4.3329490154e-01
2.9500000000e-01 4.7767177916e-01
3.0000000000e-01 5.2232822084e-01
3.0500000000e-01 5.6670509846e-01
3.1000000000e-01 6.1025377460e-01
3.1500000000e-01 6.5245642828e-01
3.2000000000e-01 6.9284447179e-01
3.2500000000e-01 7.3101397002e-01
3.3000000000e-01 7.6663722950e-01
3.3500000000e-01 7.9947004075e-01
3.4000000000e-01 8.2935440316e-01
3.4500000000e-01 8.5621689958e-01
3.5000000000e-01 8.8006318746e-01
3.5500000000e-01 9.0096930788e-01
3.6000000000e-01 9.1907066808e-01
3.6500000000e-01 9.3454961939e-01
3.7000000000e-01 9.4762253600e-01
3.7500000000e-01 9.5852721166e-01
3.8000000000e-01 9.6751124972e-01
3.8500000000e-01 9.7482194738e-01
3.9000000000e-01 9.8069798929e-01
3.9500000000e-01 9.8536308688e-01
4.0000000000e-01 9.8902154325e-01
4.0500000000e-01 9.9185559886e-01
4.1000000000e-01 9.9402432520e-01
4.1500000000e-01 9.9566378248e-01
4.2000000000e-01 9.9688813916e-01
4.2500000000e-01 9.9779146055e-01
4.3000000000e-01 9.9844990251e-01
4.3500000000e-01 9.9892408792e-01
4.4000000000e-01 9.9926149085e-01
4.4500000000e-01 9.9949870084e-01
4.5000000000e-01 9.9966348315e-01
4.5500000000e-01 9.9977658820e-01
4.6000000000e-01 9.9985329273e-01
4.6500000000e-01 9.9990467706e-01
4.7000000000e-01 9.9993865720e-01
4.7500000000e-01 9.9996079901e-01
4.8000000000e-01 9.9997494496e-01
4.8500000000e-01 9.9998368385e-01
4.9000000000e-01 9.9998869116e-01
4.9500000000e-01 9.9999096322e-01
5.0000000000e-01 9.9999096322e-01
5.0500000000e-01 9.9998869116e-01
5.1000000000e-01 9.9998368385e-01
5.1500000000e-01 9.9997494496e-01
5.2000000000e-01 9.9996079901e-01
5.2500000000e-01 9.9993865720e-01
5.3000000000e-01 9.9990467706e-01
5.3500000000e-01 9.9985329273e-01
5.4000000000e-01 9.9977658820e-01
5.4500000000e-01 9.9966348315e-01
5.5000000000e-01 9.9949870084e-01
5.5500000000e-01 9.9926149085e-01
5.6000000000e-01 9.9892408792e-01
5.6500000000e-01 9.9844990251e-01
5.7000000000e-01 9.9779146055e-01
5.7500000000e-01 9.9688813916e-01
5.8000000000e-01 9.9566378248e-01
5.8500000000e-01 9.9402432520e-01
5.9000000000e-01 9.9185559886e-01
5.9500000000e-01 9.8902154325e-01
6.0000000000e-01 9.8536308688e-01
6.0500000000e-01 9.8069798929e-01
6.1000000000e-01 9.7482194738e-01
6.1500000000e-01 9.6751124972e-01
6.2000000000e-01 9.5852721166e-01
6.2500000000e-01 9.4762253600e-01
6.3000000000e-01 9.3454961939e-01
6.3500000000e-01 9.1907066808e-01
6.4000000000e-01 9.0096930788e-01
6.4500000000e-01 8.8006318746e-01
6.5000000000e-01 8.5621689958e-01
6.5500000000e-01 8.2935440316e-01
6.6000000000e-01 7.9947004075e-01
6.6500000000e-01 7.6663722950e-01
6.7000000000e-01 7.3101397002e-01
6.7500000000e-01 6.9284447179e-01
6.8000000000e-01 6.5245642828e-01
6.8500000000e-01 6.1025377460e-01
6.9000000000e-01 5.6670509846e-01
6.9500000000e-01 5.2232822084e-01
7.0000000000e-01 4.7767177916e-01
7.0500000000e-01 4.3329490154e-01
7.1000000000e-01 3.8974622540e-01
7.1500000000e-01 3.4754357172e-01
7.2000000000e-01 3.0715552821e-01
7.2500000000e-01 2.6898602998e-01
7.3000000000e-01 2.3336277050e-01
7.3500000000e-01 2.0052995925e-01
7.4000000000e-01 1.7064559684e-01
7.4500000000e-01 1.4378310042e-01
7.5000000000e-01 1.1993681254e-01
7.5500000000e-01 9.9030692123e-02
7.6000000000e-01 8.0929331919e-02
7.6500000000e-01 6.5450380606e-02
7.7000000000e-01 5.2377463999e-02
7.7500000000e-01 4.1472788337e-02
7.8000000000e-01 3.2488750275e-02
7.8500000000e-01 2.5178052614e-02
7.9000000000e-01 1.9302010701e-02
7.9500000000e-01 1.4636913106e-02
8.0000000000e-01 1.0978456724e-02
8.0500000000e-01 8.1444010882e-03
8.1000000000e-01 5.9756746868e-03
8.1500000000e-01 4.3362172981e-03
8.2000000000e-01 3.1118604016e-03
8.2500000000e-01 2.2085385852e-03
8.3000000000e-01 1.5500958108e-03
8.3500000000e-01 1.0759088663e-03
8.4000000000e-01 7.3850305927e-04
8.4500000000e-01 5.0128774612e-04
8.5000000000e-01 3.3649567756e-04
8.5500000000e-01 2.2337294064e-04
8.6000000000e-01 1.4663670511e-04
8.6500000000e-01 9.5196179715e-05
8.7000000000e-01 6.1117536370e-05
8.7500000000e-01 3.8804986650e-05
8.8000000000e-01 2.4366408516e-05
8.8500000000e-01 1.5131627625e-05
8.9000000000e-01 9.2934862152e-06
8.9500000000e-01 5.6452105599e-06
9.0000000000e-01 3.3915675085e-06
9.0500000000e-01 2.0153510844e-06
9.1000000000e-01 1.1845207184e-06
9.1500000000e-01 6.8863441245e-07
9.2000000000e-01 3.9600612300e-07
9.2500000000e-01 2.2526605996e-07
9.3000000000e-01 1.2676063012e-07
9.3500000000e-01 7.0563862422e-08
9.4000000000e-01 3.8860164934e-08
9.4500000000e-01 2.1172234111e-08
9.5000000000e-01 1.1412590095e-08
9.5500000000e-01 6.0865755549e-09
9.6000000000e-01 3.2117954744e-09
9.6500000000e-01 1.6769428927e-09
9.7000000000e-01 8.6630285753e-10
9.7500000000e-01 4.4267439713e-10
9.8000000000e-01 2.2345952857e-10
9.8500000000e-01 1.1079432284e-10
9.9000000000e-01 5.2582701146e-11
9.9500000000e-01 2.0911498334e-11
1.0000000000e+00 0.0000000000e+00
