# x u(x,t=0.3)
0.0000000000e+00 0.0000000000e+00
2.5000000000e-03 5.5979277785e-40
5.0000000000e-03 2.0805847924e-39
7.5000000000e-03 5.7738945908e-39
1.0000000000e-02 1.4179657769e-38
1.2500000000e-02 3.2501443240e-38
1.5000000000e-02 7.1200496255e-38
1.7500000000e-02 1.5097515881e-37
2.0000000000e-02 3.1221574033e-37
2.2500000000e-02 6.3277928068e-37
2.5000000000e-02 1.2610984218e-36
2.7500000000e-02 2.4773237185e-36
3.0000000000e-02 4.8053236039e-36
3.2500000000e-02 9.2162765415e-36
3.5000000000e-02 1.7496066538e-35
3.7500000000e-02 3.2903665793e-35
4.0000000000e-02 6.1343114842e-35
4.2500000000e-02 1.1343639187e-34
4.5000000000e-02 2.0816704993e-34
4.7500000000e-02 3.7924674881e-34
5.0000000000e-02 6.8617541028e-34
5.2500000000e-02 1.2333481136e-33
5.5000000000e-02 2.2028846448e-33
5.7500000000e-02 3.9107416490e-33
6.0000000000e-02 6.9021314810e-33
6.2500000000e-02 1.2112981114e-32
6.5000000000e-02 2.1141828543e-32
6.7500000000e-02 3.6705565437e-32
7.0000000000e-02 6.3399886272e-32
7.2500000000e-02 1.0896260741e-31
7.5000000000e-02 1.8636346951e-31
7.7500000000e-02 3.1724686342e-31
8.0000000000e-02 5.3758067238e-31
8.2500000000e-02 9.0688899810e-31
8.5000000000e-02 1.5232858887e-30
8.7500000000e-02 2.5478658761e-30
9.0000000000e-02 4.2441355967e-30
9.2500000000e-02 7.0415448319e-30
9.5000000000e-02 1.1637508470e-29
9.7500000000e-02 1.9160717229e-29
1.0000000000e-01 3.1431749766e-29
1.0250000000e-01 5.1377718577e-29
1.0500000000e-01 8.3690087473e-29
1.0750000000e-01 1.3586535669e-28
1.1000000000e-01 2.1984700541e-28
1.1250000000e-01 3.5460928720e-28
1.1500000000e-01 5.7021282614e-28
1.1750000000e-01 9.1415471600e-28
1.2000000000e-01 1.4612874823e-27
1.2250000000e-01 2.3292766247e-27
1.2500000000e-01 3.7026348131e-27
1.2750000000e-01 5.8700089385e-27
1.3000000000e-01 9.2819029934e-27
1.3250000000e-01 1.4639848265e-26
1.3500000000e-01 2.3033868121e-26
1.3750000000e-01 3.6153963035e-26
1.4000000000e-01 5.6614822967e-26
1.4250000000e-01 8.8453406368e-26
1.4500000000e-01 1.3788993313e-25
1.4750000000e-01 2.1448950577e-25
1.5000000000e-01 3.3293190199e-25
1.5250000000e-01 5.1570287106e-25
1.5500000000e-01 7.9717909927e-25
1.5750000000e-01 1.2298170358e-24
1.6000000000e-01 1.8935118113e-24
1.6250000000e-01 2.9097240558e-24
1.6500000000e-01 4.4627645891e-24
1.6750000000e-01 6.8318052703e-24
1.7000000000e-01 1.0438933700e-23
1.7250000000e-01 1.5921161928e-23
1.7500000000e-01 2.4238133925e-23
1.7750000000e-01 3.6832937879e-23
1.8000000000e-01 5.5871771935e-23
1.8250000000e-01 8.4600482715e-23
1.8500000000e-01 1.2787401056e-22
1.8750000000e-01 1.9294117310e-22
1.9000000000e-01 2.9060582809e-22
1.9250000000e-01 4.3694182010e-22
1.9500000000e-01 6.5582124427e-22
1.9750000000e-01 9.8263500533e-22
2.0000000000e-01 1.4697580406e-21
2.0250000000e-01 2.1945628016e-21
2.0500000000e-01 3.2711479020e-21
2.0750000000e-01 4.8674732644e-21
2.1000000000e-01 7.2303486356e-21
2.1250000000e-01 1.0721808805e-20
2.1500000000e-01 1.5871968224e-20
2.1750000000e-01 2.3455681582e-20
2.2000000000e-01 3.4603530969e-20
2.2250000000e-01 5.0962218555e-20
2.2500000000e-01 7.4925936620e-20
2.2750000000e-01 1.0996951778e-19
2.3000000000e-01 1.6112726692e-19
2.3250000000e-01 2.3567992816e-19
2.3500000000e-01 3.4413846433e-19
2.3750000000e-01 5.0165032675e-19
2.4000000000e-01 7.3000599583e-19
2.4250000000e-01 1.0604968042e-18
2.4500000000e-01 1.5379777831e-18
2.4750000000e-01 2.2266331052e-18
2.5000000000e-01 3.2181426935e-18
2.5250000000e-01 4.6432289032e-18
2.5500000000e-01 6.6879524287e-18
2.5750000000e-01 9.6166687871e-18
2.6000000000e-01 1.3804308587e-17
2.6250000000e-01 1.9781685382e-17
2.6500000000e-01 2.8298972290e-17
2.6750000000e-01 4.0414470259e-17
2.7000000000e-01 5.7618517572e-17
2.7250000000e-01 8.2006134884e-17
2.7500000000e-01 1.1651713262e-16
2.7750000000e-01 1.6526942877e-16
2.8000000000e-01 2.3402091096e-16
2.8250000000e-01 3.3080823893e-16
2.8500000000e-01 4.6682874702e-16
2.8750000000e-01 6.5765571719e-16
2.9000000000e-01 9.2490995350e-16
2.9250000000e-01 1.2985547450e-15
2.9500000000e-01 1.8200408829e-15
2.9750000000e-01 2.5466086281e-15
3.0000000000e-01 3.5571613528e-15
3.0250000000e-01 4.9602702064e-15
3.0500000000e-01 6.9050627599e-15
3.0750000000e-01 9.5960072304e-15
3.1000000000e-01 1.3312948746e-14
3.1250000000e-01 1.8438212985e-14
3.1500000000e-01 2.5493201924e-14
3.1750000000e-01 3.5187714019e-14
3.2000000000e-01 4.8486289391e-14
3.2250000000e-01 6.6697290542e-14
3.2500000000e-01 9.1592286596e-14
3.2750000000e-01 1.2556575088e-13
3.3000000000e-01 1.7184828537e-13
3.3250000000e-01 2.3479078000e-13
3.3500000000e-01 3.2024239598e-13
3.3750000000e-01 4.3605240851e-13
3.4000000000e-01 5.9273524498e-13
3.4250000000e-01 8.0435013171e-13
3.4500000000e-01 1.0896624134e-12
3.4750000000e-01 1.4736738515e-12
3.5000000000e-01 1.9896353294e-12
3.5250000000e-01 2.6816890369e-12
3.5500000000e-01 3.6083304442e-12
