# x u(x,t=0)
0.0000000000e+00 1.9287498480e-22
5.0000000000e-03 5.2167366620e-22
1.0000000000e-02 1.3969439431e-21
1.5000000000e-02 3.7035319777e-21
2.0000000000e-02 9.7209850203e-21
2.5000000000e-02 2.5261637809e-20
3.0000000000e-02 6.4993479721e-20
3.5000000000e-02 1.6555226621e-19
4.0000000000e-02 4.1750100559e-19
4.5000000000e-02 1.0424061784e-18
5.0000000000e-02 2.5767571092e-18
5.5000000000e-02 6.3061898940e-18
6.0000000000e-02 1.5279799683e-17
6.5000000000e-02 3.6654333956e-17
7.0000000000e-02 8.7054266223e-17
7.5000000000e-02 2.0469717132e-16
8.0000000000e-02 4.7653047353e-16
8.5000000000e-02 1.0983141298e-15
9.0000000000e-02 2.5062218871e-15
9.5000000000e-02 5.6619955169e-15
1.0000000000e-01 1.2664165549e-14
1.0500000000e-01 2.8044047382e-14
1.1000000000e-01 6.1483964127e-14
1.1500000000e-01 1.3345660848e-13
1.2000000000e-01 2.8679750089e-13
1.2500000000e-01 6.1019366776e-13
1.3000000000e-01 1.2853372251e-12
1.3500000000e-01 2.6805476373e-12
1.4000000000e-01 5.5346100717e-12
1.4500000000e-01 1.1313776200e-11
1.5000000000e-01 2.2897348456e-11
1.5500000000e-01 4.5879624871e-11
1.6000000000e-01 9.1014707645e-11
1.6500000000e-01 1.7875588711e-10
1.7000000000e-01 3.4758912812e-10
1.7500000000e-01 6.6915860913e-10
1.8000000000e-01 1.2754076295e-09
1.8500000000e-01 2.4067224363e-09
1.9000000000e-01 4.4963494623e-09
1.9500000000e-01 8.3167024568e-09
2.0000000000e-01 1.5229979745e-08
2.0500000000e-01 2.7612424568e-08
2.1000000000e-01 4.9564053192e-08
2.1500000000e-01 8.8081791965e-08
2.2000000000e-01 1.5497531357e-07
2.2500000000e-01 2.6995785034e-07
2.3000000000e-01 4.6557157158e-07
2.3500000000e-01 7.9493936153e-07
2.4000000000e-01 1.3438122776e-06
2.4500000000e-01 2.2490559670e-06
2.5000000000e-01 3.7266531721e-06
2.5500000000e-01 6.1135679664e-06
2.6000000000e-01 9.9295043059e-06
2.6500000000e-01 1.5966783898e-05
2.7000000000e-01 2.5419346516e-05
2.7500000000e-01 4.0065297393e-05
2.8000000000e-01 6.2521503775e-05
2.8500000000e-01 9.6593413722e-05
2.9000000000e-01 1.4774836023e-04
2.9500000000e-01 2.2374579372e-04
3.0000000000e-01 3.3546262790e-04
3.0500000000e-01 4.9795542150e-04
3.1000000000e-01 7.3180241888e-04
3.1500000000e-01 1.0647662367e-03
3.2000000000e-01 1.5338106793e-03
3.2500000000e-01 2.1874911182e-03
3.3000000000e-01 3.0887154082e-03
3.3500000000e-01 4.3178400076e-03
3.4000000000e-01 5.9760228950e-03
3.4500000000e-01 8.1887010144e-03
3.5000000000e-01 1.1108996538e-02
3.5500000000e-01 1.4920786069e-02
3.6000000000e-01 1.9841094744e-02
